"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"1915",1915,"1886-1891","https://gallica.bnf.fr/ark:/12148/cb32731871f/date","Paris","Bulletin officiel de l'Union nationale des sociétés de tir de France",78,"cb32731871f",2755,"1886-06-15","1893-12-30","1886-06-15","1893-12-30",FALSE
"1916",1916,"1907-1910","https://gallica.bnf.fr/ark:/12148/cb327317072/date","Paris","Bulletin officiel de l'Association des fonctionnaires de l'Administration centrale des Postes et télégraphes",5,"cb327317072",1401,"1906-04","1910-01","1906-04-01","1910-01-31",FALSE
"1917",1917,"1833-1833","https://gallica.bnf.fr/ark:/12148/cb32732819k/date","Toulon","Bulletin politique de la France",1,"cb32732819k",0,"1833-09-30","1833-09-30","1833-09-30","1833-09-30",FALSE
"1918",1918,"1886-19..","https://gallica.bnf.fr/ark:/12148/cb32698511h/date","Paris","L'Annuaire parisien de la banque et de la bourse",3,"cb32698511h",5477,"1886","1900","1886-01-01","1900-12-31",FALSE
"1919",1919,"1924-1925","https://gallica.bnf.fr/ark:/12148/cb32735051k/date","Caen","Caen sport ",130,"cb32735051k",679,"1924-02-08","1925-12-18","1924-02-08","1925-12-18",TRUE
"1920",1920,"1860-1862","https://gallica.bnf.fr/ark:/12148/cb32696888f/date","Paris","Annuaire des artistes et des amateurs ",3,"cb32696888f",1095,"1860","1862","1860-01-01","1862-12-31",FALSE
"1921",1921,"1866-1956","https://gallica.bnf.fr/ark:/12148/cb32696609r/date","Paris","Annuaire de la Société des auteurs et compositeurs dramatiques",70,"cb32696609r",30679,"1866","1949","1866-01-01","1949-12-31",FALSE
"1922",1922,"1894-1913","https://gallica.bnf.fr/ark:/12148/cb32696458d/date","Paris","Annuaire de la Librairie française",3,"cb32696458d",1460,"1906","1909","1906-01-01","1909-12-31",FALSE
"1923",1923,"1914-1977","https://gallica.bnf.fr/ark:/12148/cb32696365d/date","Paris","Annuaire de la coopération",13,"cb32696365d",8034,"1914","1935","1914-01-01","1935-12-31",FALSE
"1924",1924,"1921-1959","https://gallica.bnf.fr/ark:/12148/cb32734593n/date","Paris","Le Burnous ",76,"cb32734593n",10349,"1921-10","1950-01","1921-10-01","1950-01-31",FALSE
"1925",1925,"1835-1835","https://gallica.bnf.fr/ark:/12148/cb32699664m/date","Paris","L'Anse du panier",2,"cb32699664m",185,"1835","1835-07-05","1835-01-01","1835-07-05",FALSE
"1926",1926,"1931-1934","https://gallica.bnf.fr/ark:/12148/cb327354223/date","Paris","Cahiers de l'Union fédérale des Associations françaises d'anciens combattants et de victimes de la guerre et des jeunesses de l'Union fédérale ",68,"cb327354223",1126,"1931-11-15","1934-12-15","1931-11-15","1934-12-15",FALSE
"1927",1927,"1922-193.","https://gallica.bnf.fr/ark:/12148/cb32733973w/date","Paris","Bulletin trimestriel de la Société des compositeurs de musique",13,"cb32733973w",3623,"1922-03-01","1932-01-31","1922-03-01","1932-01-31",FALSE
"1928",1928,"1886-1894","https://gallica.bnf.fr/ark:/12148/cb327330366/date","Paris","Bulletin scientifique de l'enseignement secondaire spécial",43,"cb327330366",2818,"1886-11","1894-07-20","1886-11-01","1894-07-20",FALSE
"1929",1929,"192.-1931","https://gallica.bnf.fr/ark:/12148/cb32733349c/date","Rueil","Bulletin trimestriel de l'Amicale des anciens combattants de Rueil et de Buzenval ",16,"cb32733349c",NA,"1927-08-15","1931-04","1927-08-15","1931-04-31",FALSE
"1930",1930,"1897-1914","https://gallica.bnf.fr/ark:/12148/cb32696285r/date","Grenoble","Annuaire de l'Université de Grenoble ",13,"cb32696285r",5842,"1898","1913","1898-01-01","1913-12-31",FALSE
"1931",1931,"1894-1941","https://gallica.bnf.fr/ark:/12148/cb32734280g/date","Grenoble","Bulletins de la Société dauphinoise d'ethnologie et d'anthropologie  ",51,"cb32734280g",17410,"1894-05-01","1941","1894-05-01","1941-12-31",FALSE
"1932",1932,"19..-19..","https://gallica.bnf.fr/ark:/12148/cb32733608m/date","Paris","Bulletin trimestriel de l'Association générale des membres de la presse de l'enseignement",30,"cb32733608m",NA,"1903-03","1910-06","1903-03-01","1910-06-31",FALSE
"1933",1933,"1897-1897","https://gallica.bnf.fr/ark:/12148/cb32707138h/date","Paris","L'Auto vélo ",36,"cb32707138h",246,"1897-05-15","1898-01-16","1897-05-15","1898-01-16",FALSE
"1934",1934,"1852-1885","https://gallica.bnf.fr/ark:/12148/cb32698045f/date","Bordeaux, Bordeaux, Bordeaux, Bordeaux","Annuaire général du commerce et de l'industrie de la ville de Bordeaux et du département de la Gironde ",8,"cb32698045f",4017,"1852","1862","1852-01-01","1862-12-31",FALSE
"1935",1935,"1906-1912","https://gallica.bnf.fr/ark:/12148/cb32736598v/date","Paris","La Calotte ",308,"cb32736598v",2282,"1906-09-14","1912-12-13","1906-09-14","1912-12-13",FALSE
"1936",1936,"1924-1944","https://gallica.bnf.fr/ark:/12148/cb32737062q/date","Paris, Clermont Ferrand","Candide ",1037,"cb32737062q",7447,"1924-03-20","1944-08-09","1924-03-20","1944-08-09",FALSE
"1937",1937,"1932-1936","https://gallica.bnf.fr/ark:/12148/cb32699916k/date","Paris","Antoine document ",9,"cb32699916k",2009,"1932-07","1937","1932-07-01","1937-12-31",FALSE
"1938",1938,"1833-1834","https://gallica.bnf.fr/ark:/12148/cb32699890q/date","Paris","L'Anti romantique ",32,"cb32699890q",247,"1833-11-03","1834-07-08","1833-11-03","1834-07-08",FALSE
"1939",1939,"1893-1912","https://gallica.bnf.fr/ark:/12148/cb327007730/date","Arcachon","Arcachon journal ",561,"cb327007730",4830,"1899-01-08","1912-03-31","1899-01-08","1912-03-31",FALSE
"1940",1940,"1886-1887","https://gallica.bnf.fr/ark:/12148/cb327007494/date","Tahiti","L'Arc en",13,"cb327007494",NA,"1886-10","1887-02","1886-10-01","1887-02-31",FALSE
"1941",1941,"1888-1897","https://gallica.bnf.fr/ark:/12148/cb32700777c/date","Arcachon","Arcachon saison ",267,"cb32700777c",3176,"1889-01-05","1897-09-16","1889-01-05","1897-09-16",FALSE
"1942",1942,"1873-18??","https://gallica.bnf.fr/ark:/12148/cb32695298v/date","Constantinople [Istanbul]","Annonces Journal de Constantinople ",6,"cb32695298v",35,"1874-07-23","1874-08-27","1874-07-23","1874-08-27",FALSE
"1943",1943,"1873-1905","https://gallica.bnf.fr/ark:/12148/cb32695910j/date","Paris","Annuaire de l'Armée française  ",7,"cb32695910j",10956,"1876","1905","1876-01-01","1905-12-31",FALSE
"1944",1944,"1910-1912","https://gallica.bnf.fr/ark:/12148/cb327012328/date","Paris","Archives de Doyen ",14,"cb327012328",395,"1910-11-15","1911-12-15","1910-11-15","1911-12-15",FALSE
"1945",1945,"1890-1908","https://gallica.bnf.fr/ark:/12148/cb32701423v/date","Paris","Archives générales d'hydrologie",184,"cb32701423v",6360,"1890-04","1907-08","1890-04-01","1907-08-31",FALSE
"1946",1946,"1899-1928","https://gallica.bnf.fr/ark:/12148/cb32702175h/date","Paris","Armée et marine ",404,"cb32702175h",10251,"1900-10-07","1928-10","1900-10-07","1928-10-31",FALSE
"1947",1947,"1917-191.","https://gallica.bnf.fr/ark:/12148/cb32701903m/date","Paris","L'Argus du cinéma  ",5,"cb32701903m",35,"1917-05-17","1917-06-21","1917-05-17","1917-06-21",FALSE
"1948",1948,"1906-1906","https://gallica.bnf.fr/ark:/12148/cb32702561x/date","Paris","L'Art et le beau ",12,"cb32702561x",211,"1906-01","1906-07","1906-01-01","1906-07-31",FALSE
"1949",1949,"1835-1859","https://gallica.bnf.fr/ark:/12148/cb32702508g/date","Moulins","L'Art en province",16,"cb32702508g",NA,"1835","1859-02","1835-01-01","1859-02-31",FALSE
"1950",1950,"1935-1939","https://gallica.bnf.fr/ark:/12148/cb327026438/date","Paris","L'Art musical ",128,"cb327026438",1351,"1935-11-15","1939-07-28","1935-11-15","1939-07-28",FALSE
"1951",1951,"1896-19..","https://gallica.bnf.fr/ark:/12148/cb32702632m/date","Paris","L'Art lyrique et le music hall ",141,"cb32702632m",1089,"1896","1898-12-25","1896-01-01","1898-12-25",FALSE
"1952",1952,"1874","https://gallica.bnf.fr/ark:/12148/cb32701443g/date","Saintes, Paris, Paris, Saintes","Archives historiques de la Saintonge et de l'Aunis ",50,"cb32701443g",22643,"1874","1935","1874-01-01","1935-12-31",FALSE
"1953",1953,"1935-1939","https://gallica.bnf.fr/ark:/12148/cb32702492x/date","Paris","Art dramatique ",5,"cb32702492x",211,"1936-11","1937-05","1936-11-01","1937-05-31",FALSE
